protocol,flow_duration,total_forward_packets,total_backward_packets,total_forward_packets_length,total_backward_packets_length,forward_packet_length_mean,backward_packet_length_mean,forward_packets_per_second,backward_packets_per_second,forward_iat_mean,backward_iat_mean,flow_iat_mean,flow_packets_per_seconds,flow_bytes_per_seconds,label
17,2468,4,0,1580.0,0.0,395.0,0.0,1620.7455429497568,0.0,822.6666666666667,0.0,822.6666666666667,1620.7455429497568,640194.4894651539,DrDoS_DNS
17,133,4,0,5888.0,0.0,1472.0,0.0,30075.18796992481,0.0,44.33333333333333,0.0,44.33333333333333,30075.187969924813,44270676.69172932,DrDoS_DNS
17,33509,200,0,88000.0,0.0,440.0,0.0,5968.5457638246435,0.0,168.38693467336685,0.0,168.38693467336685,5968.5457638246435,2626160.136082844,DrDoS_DNS
17,288495,200,0,88000.0,0.0,440.0,0.0,693.252915995078,0.0,1449.7236180904513,0.0,1449.7236180904513,693.252915995078,305031.2830378343,DrDoS_DNS
17,9,2,0,2062.0,0.0,1031.0,0.0,222222.22222222228,0.0,9.0,0.0,9.0,222222.22222222228,229111111.11111107,DrDoS_DNS
17,35262,200,0,88000.0,0.0,440.0,0.0,5671.828030174125,0.0,177.19597989949742,0.0,177.19597989949742,5671.828030174125,2495604.333276615,DrDoS_DNS
17,46,2,0,2240.0,0.0,1120.0,0.0,43478.260869565216,0.0,46.0,0.0,46.0,43478.260869565216,48695652.17391305,DrDoS_DNS
17,11,2,0,2772.0,0.0,1386.0,0.0,181818.18181818182,0.0,11.0,0.0,11.0,181818.18181818182,252000000.0,DrDoS_DNS
17,20599,2,2,86.0,204.0,43.0,102.0,97.09209184911889,97.09209184911889,1.0,2.0,6866.333333333334,194.18418369823777,14078.353318122241,BENIGN
17,49,2,0,1012.0,0.0,506.0,0.0,40816.32653061225,0.0,49.0,0.0,49.0,40816.32653061225,20653061.2244898,DrDoS_DNS
17,1990,4,0,5696.0,0.0,1424.0,0.0,2010.0502512562807,0.0,663.3333333333333,0.0,663.3333333333333,2010.0502512562812,2862311.557788945,DrDoS_DNS
17,3,2,0,1332.0,0.0,666.0,0.0,666666.6666666665,0.0,3.0,0.0,3.0,666666.6666666665,444000000.0,DrDoS_DNS
17,20826,2,2,86.0,118.0,43.0,59.0,96.03380389897244,96.03380389897244,1.0,1.0,6942.0,192.06760779794487,9795.447997695188,BENIGN
17,269,2,0,1014.0,0.0,507.0,0.0,7434.9442379182165,0.0,269.0,0.0,269.0,7434.9442379182165,3769516.728624536,DrDoS_DNS
17,12,2,0,660.0,0.0,330.0,0.0,166666.66666666663,0.0,12.0,0.0,12.0,166666.66666666663,55000000.0,DrDoS_DNS
17,265,4,0,5888.0,0.0,1472.0,0.0,15094.339622641508,0.0,88.33333333333334,0.0,88.33333333333334,15094.339622641508,22218867.924528304,DrDoS_DNS
17,246,2,0,714.0,0.0,357.0,0.0,8130.081300813006,0.0,246.0,0.0,246.0,8130.081300813006,2902439.024390244,DrDoS_DNS
